ID	Type	Des	CHINESE	字符补充																									
1000001	文本	通用	%s/%s																										
1000002	文本	通用	%s:%s																										
1000003	文本	通用	(%s/%s)																										
1000004	文本	通用	%s%																										
1000005	文本	通用	-%s																										
1000006	文本	通用	%s - %s																										
1000007	文本	通用	%sx																										
1000008	文本	通用	%ss																										
1001001	文本	车名	黄蜂																										
1001002	文本	车名	牧羊犬																										
1001003	文本	车名	猎豹																										
1001004	文本	车名	独角兽																										
1001005	文本	车名	骇客																										
1001006	文本	车名	战神																										
1001007	文本	车名	小甲虫																										
1001008	文本	车名	首领																										
1001009	文本	车名	女妖																										
1001010	文本	车名	野马																										
1001011	文本	车名	幻影																										
1001012	文本	车名	小甲虫																										
1001013	文本	车名	飞马																										
1001014	文本	车名	蛮牛																										
1002001	文本	车级别	D																										
1002002	文本	车级别	C																										
1002003	文本	车级别	B																										
1002004	文本	车级别	A																										
1002005	文本	车级别	S																										
1003001	文本	车类型	家用车																										
1003002	文本	车类型	越野车																										
1003003	文本	车类型	肌肉车																										
1003004	文本	车类型	跑车																										
1003005	文本	车类型	超级跑车																										
1004001	文本	车属性	加速度																										
1004002	文本	车属性	最高速度																										
1004003	文本	车属性	氮气																										
1004004	文本	车属性	护盾																										
1005001	文本	性能分相关	性能分																										
1005002	文本	性能分相关	推荐性能分:																										
1006001	文本	关卡类型	限时赛																										
1006002	文本	关卡类型	分数赛																										
1006003	文本	关卡类型	超车赛																										
1006004	文本	关卡类型	路段赛																										
1006005	文本	关卡类型	检查点赛																										
1006006	文本	关卡类型	竞速赛																										
1007001	文本	目标说明-限时赛	%s秒内跑完全程	%s秒内行驶%s千米																									
1007002	文本	目标说明-分数赛	%s秒内获得%s分																										
1007003	文本	目标说明-超车赛	%s秒内完成超车%s次																										
1007004	文本	目标说明-路段赛	及时完成全部路段																										
1007005	文本	目标说明-检查点赛	%s秒内完成检查点检测%s次																										
1007006	文本	目标说明-通用副目标	提前%s秒完成																										
1007007	文本	目标说明-竞速赛	以第%s名成绩完成比赛																										
1007008	文本	目标说明-竞速赛副目标	拿到第%s名																										
1007009	文本	目标说明-无尽模式	时间耗尽前尽情狂飙去获取更多的金币																										
1007010	文本	提示	第%s名																										
1007011	文本	目标说明-竞速赛	至少以第%s名成绩完成比赛																										
1007012	文本	目标说明-无尽模式横条	尽情狂飙获取更多金币																										
2000001	文本	Loading提示语	在现实道路上行驶车辆，必须遵守当地交通法规！																										
2000002	文本	Loading提示语	氮气冲刺时，没人可以阻挡你！																										
2000003	文本	Loading提示语	当护盾值积攒满格时，可以保护你免受碰撞伤害！																										
2001001	文本	主界面-模式按钮	生涯闯关																										
2001002	文本	主界面-模式按钮	活动																										
2001003	文本	主界面-模式按钮	全球锦标赛																										
2001004	文本	主界面-模菜单	比赛																										
2001005	文本	主界面-模菜单	车库																										
2001006	文本	主界面-模菜单	商店																										
2002001	文本	设置窗口	游戏设置																										
2002002	文本	设置窗口	开																										
2002003	文本	设置窗口	关																										
2002004	文本	设置窗口	音效																										
2002005	文本	设置窗口	音乐																										
2003001	文本	关卡选择界面	赛季旗帜																										
2003002	文本	关卡选择界面	赛季																										
2004001	文本	赛区选择界面	赛季选择																										
2004002	文本	赛区选择界面	生涯总旗帜																										
2004003	文本	赛区选择界面	当前旗帜																										
2004004	文本	赛区选择界面	进入																										
2004005	文本	赛区选择界面	解锁条件																										
2004006	文本	赛区选择界面	完成赛季%s全部比赛																										
2004007	文本	赛区选择界面	需要获得%s																										
2005001	文本	关卡信息窗口	目标																										
2005002	文本	关卡信息窗口	奖励																										
2005003	文本	关卡信息窗口	参加比赛																										
2005004	文本	关卡信息窗口-金币	大量																										
2006001	文本	选车出战界面	出发																										
2006002	文本	选车出战界面	升级																										
2007001	文本	321倒数窗口	点击屏幕跳过																										
2008001	文本	操作界面-飘字	超车																										
2008002	文本	操作界面-飘字	*备用*																										
2008003	文本	操作界面-飘字	*备用*																										
2008004	文本	操作界面-目标	分数																										
2008005	文本	操作界面-目标	超车																										
2008006	文本	操作界面-目标	检查点																										
2008007	文本	操作界面-目标	路程																										
2008008	文本	操作界面-提示	名次																										
2009001	文本	暂停界面	暂停																										
2009002	文本	暂停界面	继续																										
2009003	文本	暂停界面	放弃																										
2010001	文本	比赛结束窗口	通关成功																										
2010002	文本	比赛结束窗口	通关失败																										
2011001	文本	胜利界面	恭喜你！\n离传奇车手更进一步了~																										
2011002	文本	胜利界面	比赛胜利																										
2011003	文本	胜利界面	总分:																										
2011004	文本	胜利界面	获得奖励																										
2011005	文本	胜利界面	继续																										
2012001	文本	失败界面	很遗憾！\n离目标就差一点~																										
2012002	文本	失败界面	比赛失败																										
