ID	CarDebrisInt	CarDebrisLevel	OpenChestNum	ShowRewardId	ResidueDegree
0	1|10	0	0	1	3
1	2|1	33	0	1	2
2	2|2	33	0	1	1
3	2|2	34	1	1	0
4	3|2	33	0	2	2
5	4|2	33	0	2	1
6	2|2	34	2	2	0
7	3|3	33	0	3	2
8	4|2	33	0	3	1
9	4|3	34	3	3	0
10	4|2	33	0	4	2
11	2|3	33	0	4	1
12	4|2	34	4	4	0
13	3|3	33	0	5	2
14	5|2	33	0	5	1
15	5|3	34	5	5	0
16	3|3	33	0	6	2
17	5|2	33	0	6	1
18	5|3	34	6	6	0
19	4|3	33	0	7	2
20	5|3	33	0	7	1
21	5|4	34	7	7	0
22	4|2	33	0	8	2
23	3|2	33	0	8	1
24	5|3	34	8	8	0
25	4|3	33	0	9	2
26	3|3	33	0	9	1
27	4|3	34	9	9	0
28	4|2	33	0	10	2
29	2|3	33	0	10	1
30	4|2	34	10	10	0
31	3|3	33	0	11	2
32	5|2	33	0	11	1
33	5|3	34	11	11	0
34	3|3	33	0	12	2
35	5|2	33	0	12	1
36	5|3	34	12	12	0
37	4|3	33	0	13	2
38	5|3	33	0	13	1
39	5|4	34	13	13	0
40	4|2	33	0	14	2
41	3|2	33	0	14	1
42	5|3	34	14	14	0
43	4|3	33	0	15	2
44	3|3	33	0	15	1
45	5|4	34	15	15	0
46	4|2	33	0	16	2
